# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __x64_sys_openat() {
 0)   6.763 us    |                                          }
 0)   3.647 us    |                                          find_inode_bit();
 0)               |                                          __ext4_journal_start_sb() {
 0)               |                                            ext4_journal_check_start() {
 0)               |                                              __cond_resched() {
 0)   0.191 us    |                                                rcu_all_qs();
 0)   0.551 us    |                                              }
 0)   0.921 us    |                                            }
 0)               |                                            jbd2__journal_start() {
 0)               |                                              kmem_cache_alloc() {
 0)               |                                                __cond_resched() {
 0)   0.190 us    |                                                  rcu_all_qs();
 0)   0.541 us    |                                                }
 0)   0.180 us    |                                                should_failslab();
 0)   1.293 us    |                                              }
 0)               |                                              start_this_handle() {
 0)   0.180 us    |                                                _raw_read_lock();
 0)   0.201 us    |                                                add_transaction_credits();
 0)   0.942 us    |                                              }
 0)   2.785 us    |                                            }
 0)   4.259 us    |                                          }
 0)               |                                          __ext4_journal_get_write_access() {
 0)               |                                            __cond_resched() {
 0)   0.180 us    |                                              rcu_all_qs();
 0)   0.541 us    |                                            }
 0)               |                                            jbd2_journal_get_write_access() {
 0)               |                                              jbd2_write_access_granted.part.0() {
 0)   0.191 us    |                                                rcu_read_unlock_strict();
 0)   0.721 us    |                                              }
 0)               |                                              jbd2_journal_add_journal_head() {
 0)               |                                                kmem_cache_alloc() {
 0)               |                                                  __cond_resched() {
 0)   0.190 us    |                                                    rcu_all_qs();
 0)   0.552 us    |                                                  }
 0)   0.180 us    |                                                  should_failslab();
 0)   1.362 us    |                                                }
 0)   1.783 us    |                                              }
 0)               |                                              do_get_write_access() {
 0)               |                                                __cond_resched() {
 0)   0.180 us    |                                                  rcu_all_qs();
 0)   0.542 us    |                                                }
 0)   0.180 us    |                                                _raw_spin_lock();
 0)   0.190 us    |                                                _raw_spin_lock();
 0)               |                                                __jbd2_journal_file_buffer() {
 0)   0.190 us    |                                                  jbd2_journal_grab_journal_head();
 0)   0.581 us    |                                                }
 0)               |                                                unlock_buffer() {
 0)   0.201 us    |                                                  wake_up_bit();
 0)   0.581 us    |                                                }
 0)   0.191 us    |                                                jbd2_journal_cancel_revoke();
 0)   3.537 us    |                                              }
 0)   0.200 us    |                                              jbd2_journal_put_journal_head();
 0)   7.153 us    |                                            }
 0)   8.245 us    |                                          }
 0)   0.300 us    |                                          _raw_spin_trylock();
 0)               |                                          __ext4_handle_dirty_metadata() {
 0)               |                                            __cond_resched() {
 0)   0.251 us    |                                              rcu_all_qs();
 0)   0.721 us    |                                            }
 0)               |                                            jbd2_journal_dirty_metadata() {
 0)   0.240 us    |                                              _raw_spin_lock();
 0)   0.230 us    |                                              _raw_spin_lock();
 0)               |                                              __jbd2_journal_file_buffer() {
 0)   0.200 us    |                                                __jbd2_journal_temp_unlink_buffer();
 0)   0.612 us    |                                              }
 0)   2.014 us    |                                            }
 0)   3.577 us    |                                          }
 0)               |                                          __ext4_journal_get_write_access() {
 0)               |                                            __cond_resched() {
 0)   0.190 us    |                                              rcu_all_qs();
 0)   0.551 us    |                                            }
 0)               |                                            jbd2_journal_get_write_access() {
 0)               |                                              jbd2_write_access_granted.part.0() {
 0)   0.191 us    |                                                rcu_read_unlock_strict();
 0)   0.661 us    |                                              }
 0)   1.031 us    |                                            }
 0)   2.124 us    |                                          }
 0)               |                                          ext4_get_group_info() {
 0)   0.190 us    |                                            rcu_read_unlock_strict();
 0)   0.551 us    |                                          }
 0)               |                                          down_read() {
 0)               |                                            __cond_resched() {
 0)   0.191 us    |                                              rcu_all_qs();
 0)   0.551 us    |                                            }
 0)   0.901 us    |                                          }
 0)   0.190 us    |                                          _raw_spin_trylock();
 0)   0.191 us    |                                          ext4_itable_unused_count();
 0)   0.190 us    |                                          up_read();
 0)   0.190 us    |                                          ext4_free_inodes_count();
 0)   0.191 us    |                                          ext4_free_inodes_set();
 0)   0.180 us    |                                          ext4_used_dirs_count();
 0)   0.190 us    |                                          ext4_used_dirs_set();
 0)   0.191 us    |                                          rcu_read_unlock_strict();
 0)               |                                          ext4_inode_bitmap_csum_set() {
 0)               |                                            crypto_shash_update() {
 0)               |                                              crc32c_pcl_intel_update() {
 0)   0.201 us    |                                                irq_fpu_usable();
 0)               |                                                kernel_fpu_begin_mask() {
 0)   0.190 us    |                                                  irq_fpu_usable();
 0)               |                                                  save_fpregs_to_fpstate() {
 0)   0.190 us    |                                                    xfd_validate_state();
 0)   0.762 us    |                                                  }
 0)   1.503 us    |                                                }
 0)   0.181 us    |                                                kernel_fpu_end();
 0)   3.737 us    |                                              }
 0)   4.107 us    |                                            }
 0)   4.469 us    |                                          }
 0)               |                                          ext4_group_desc_csum_set() {
 0)               |                                            ext4_group_desc_csum() {
 0)               |                                              crypto_shash_update() {
 0)   0.211 us    |                                                crc32c_pcl_intel_update();
 0)   0.561 us    |                                              }
 0)               |                                              crypto_shash_update() {
 0)   0.220 us    |                                                crc32c_pcl_intel_update();
 0)   0.581 us    |                                              }
 0)               |                                              crypto_shash_update() {
 0)   0.200 us    |                                                crc32c_pcl_intel_update();
 0)   0.602 us    |                                              }
 0)               |                                              crypto_shash_update() {
 0)   0.201 us    |                                                crc32c_pcl_intel_update();
 0)   0.561 us    |                                              }
 0)   3.567 us    |                                            }
 0)   4.579 us    |                                          }
 0)               |                                          __ext4_handle_dirty_metadata() {
 0)               |                                            __cond_resched() {
 0)   0.180 us    |                                              rcu_all_qs();
 0)   0.552 us    |                                            }
 0)   0.200 us    |                                            jbd2_journal_dirty_metadata();
 0)   1.283 us    |                                          }
 0)   0.180 us    |                                          rcu_read_unlock_strict();
 0)               |                                          current_time() {
 0)   0.190 us    |                                            ktime_get_coarse_real_ts64();
 0)   0.561 us    |                                          }
 0)               |                                          ext4_set_inode_flags() {
 0)   0.191 us    |                                            inode_set_flags();
 0)   0.581 us    |                                          }
 0)               |                                          insert_inode_locked() {
 0)   0.190 us    |                                            _raw_spin_lock();
 0)   0.190 us    |                                            _raw_spin_lock();
 0)   1.272 us    |                                          }
 0)               |                                          crypto_shash_update() {
 0)   0.190 us    |                                            crc32c_pcl_intel_update();
 0)   0.561 us    |                                          }
 0)               |                                          crypto_shash_update() {
 0)   0.181 us    |                                            crc32c_pcl_intel_update();
 0)   0.551 us    |                                          }
 0)   0.201 us    |                                          dquot_alloc_inode();
 0)               |                                          ext4_init_acl() {
 0)               |                                            posix_acl_create() {
 0)               |                                              get_cached_acl() {
 0)   0.180 us    |                                                rcu_read_unlock_strict();
 0)   0.541 us    |                                              }
 0)   0.190 us    |                                              current_umask();
 0)   1.422 us    |                                            }
 0)   1.804 us    |                                          }
 0)               |                                          ext4_init_security() {
 0)               |                                            security_inode_init_security() {
 0)   0.270 us    |                                              apparmor_inode_init_security();
 0)   0.782 us    |                                            }
 0)   1.152 us    |                                          }
 0)               |                                          ext4_ext_tree_init() {
 0)               |                                            __ext4_mark_inode_dirty() {
 0)               |                                              __cond_resched() {
 0)   0.180 us    |                                                rcu_all_qs();
 0)   0.541 us    |                                              }
 0)               |                                              ext4_reserve_inode_write() {
 0)               |                                                ext4_get_inode_loc() {
 0)               |                                                  __ext4_get_inode_loc() {
 0)               |                                                    ext4_get_group_desc() {
 0)   0.180 us    |                                                      rcu_read_unlock_strict();
 0)   0.541 us    |                                                    }
 0)   0.190 us    |                                                    ext4_inode_table();
 0)               |                                                    __getblk_gfp() {
 0)               |                                                      __find_get_block() {
 0)               |                                                        __find_get_block_slow() {
 0)               |                                                          pagecache_get_page() {
 0)   0.190 us    |                                                            rcu_read_unlock_strict();
 0)   0.180 us    |                                                            mark_page_accessed();
 0)   0.190 us    |                                                            PageHuge();
 0)   1.533 us    |                                                          }
 0)   0.191 us    |                                                          _raw_spin_lock();
 0)   2.374 us    |                                                        }
 0)   2.766 us    |                                                      }
 0)               |                                                      __cond_resched() {
 0)   0.180 us    |                                                        rcu_all_qs();
 0)   0.541 us    |                                                      }
 0)   3.847 us    |                                                    }
 0)   5.301 us    |                                                  }
 0)   5.671 us    |                                                }
 0)               |                                                __ext4_journal_get_write_access() {
 0)               |                                                  __cond_resched() {
 0)   0.180 us    |                                                    rcu_all_qs();
 0)   0.541 us    |                                                  }
 0)               |                                                  jbd2_journal_get_write_access() {
 0)               |                                                    jbd2_write_access_granted.part.0() {
 0)   0.180 us    |                                                      rcu_read_unlock_strict();
 0)   0.551 us    |                                                    }
 0)               |                                                    jbd2_journal_add_journal_head() {
 0)               |                                                      kmem_cache_alloc() {
 0)               |                                                        __cond_resched() {
 0)   0.191 us    |                                                          rcu_all_qs();
 0)   0.551 us    |                                                        }
 0)   0.190 us    |                                                        should_failslab();
 0)   1.313 us    |                                                      }
 0)   1.683 us    |                                                    }
 0)               |                                                    do_get_write_access() {
 0)               |                                                      __cond_resched() {
 0)   0.190 us    |                                                        rcu_all_qs();
 0)   0.802 us    |                                                      }
 0)   0.181 us    |                                                      _raw_spin_lock();
 0)   0.220 us    |                                                      _raw_spin_lock();
 0)               |                                                      __jbd2_journal_file_buffer() {
 0)   0.200 us    |                                                        jbd2_journal_grab_journal_head();
 0)   0.570 us    |                                                      }
 0)               |                                                      unlock_buffer() {
 0)   0.281 us    |                                                        wake_up_bit();
 0)   0.641 us    |                                                      }
 0)   0.191 us    |                                                      jbd2_journal_cancel_revoke();
 0)   6.963 us    |                                                    }
 0)   0.191 us    |                                                    jbd2_journal_put_journal_head();
 0) + 10.289 us   |                                                  }
 0) + 11.391 us   |                                                }
 0) + 17.623 us   |                                              }
 0)               |                                              ext4_mark_iloc_dirty() {
 0)   0.190 us    |                                                ext4_fc_track_inode();
 0)               |                                                ext4_do_update_inode.isra.0() {
 0)   0.191 us    |                                                  _raw_spin_lock();
 0)               |                                                  from_kuid() {
 0)   0.191 us    |                                                    map_id_up();
 0)   0.551 us    |                                                  }
 0)               |                                                  from_kgid() {
 0)   0.181 us    |                                                    map_id_up();
 0)   0.541 us    |                                                  }
 0)               |                                                  from_kprojid() {
 0)   0.180 us    |                                                    map_id_up();
 0)   0.541 us    |                                                  }
 0)               |                                                  ext4_inode_csum_set() {
 0)               |                                                    ext4_inode_csum() {
 0)               |                                                      crypto_shash_update() {
 0)   0.221 us    |                                                        crc32c_pcl_intel_update();
 0)   0.591 us    |                                                      }
 0)               |                                                      crypto_shash_update() {
 0)   0.201 us    |                                                        crc32c_pcl_intel_update();
 0)   0.551 us    |                                                      }
 0)               |                                                      crypto_shash_update() {
 0)   0.190 us    |                                                        crc32c_pcl_intel_update();
 0)   0.552 us    |                                                      }
 0)               |                                                      crypto_shash_update() {
 0)   0.191 us    |                                                        crc32c_pcl_intel_update();
 0)   0.551 us    |                                                      }
 0)               |                                                      crypto_shash_update() {
 0)   0.190 us    |                                                        crc32c_pcl_intel_update();
 0)   0.551 us    |                                                      }
 0)               |                                                      crypto_shash_update() {
 0)   0.210 us    |                                                        crc32c_pcl_intel_update();
 0)   0.582 us    |                                                      }
 0)   4.619 us    |                                                    }
 0)   4.999 us    |                                                  }
 0)               |                                                  __ext4_handle_dirty_metadata() {
 0)               |                                                    __cond_resched() {
 0)   0.190 us    |                                                      rcu_all_qs();
 0)   0.551 us    |                                                    }
 0)               |                                                    jbd2_journal_dirty_metadata() {
 0)   0.190 us    |                                                      _raw_spin_lock();
 0)   0.181 us    |                                                      _raw_spin_lock();
 0)               |                                                      __jbd2_journal_file_buffer() {
 0)   0.240 us    |                                                        __jbd2_journal_temp_unlink_buffer();
 0)   0.932 us    |                                                      }
 0)   2.103 us    |                                                    }
 0)   3.266 us    |                                                  }
 0)   0.251 us    |                                                  __brelse();
 0) + 12.223 us   |                                                }
 0) + 13.034 us   |                                              }
 0) + 31.940 us   |                                            }
 0) + 32.300 us   |                                          }
 0)               |                                          __ext4_mark_inode_dirty() {
 0)               |                                            __cond_resched() {
 0)   0.191 us    |                                              rcu_all_qs();
 0)   0.551 us    |                                            }
 0)               |                                            ext4_reserve_inode_write() {
 0)               |                                              ext4_get_inode_loc() {
 0)               |                                                __ext4_get_inode_loc() {
 0)               |                                                  ext4_get_group_desc() {
 0)   0.180 us    |                                                    rcu_read_unlock_strict();
 0)   0.541 us    |                                                  }
 0)   0.180 us    |                                                  ext4_inode_table();
 0)               |                                                  __getblk_gfp() {
 0)               |                                                    __find_get_block() {
 0)   0.190 us    |                                                      mark_page_accessed();
 0)   0.571 us    |                                                    }
 0)               |                                                    __cond_resched() {
 0)   0.190 us    |                                                      rcu_all_qs();
 0)   0.551 us    |                                                    }
 0)   1.663 us    |                                                  }
 0)   3.116 us    |                                                }
 0)   3.466 us    |                                              }
 0)               |                                              __ext4_journal_get_write_access() {
 0)               |                                                __cond_resched() {
 0)   0.190 us    |                                                  rcu_all_qs();
 0)   0.801 us    |                                                }
 0)               |                                                jbd2_journal_get_write_access() {
 0)               |                                                  jbd2_write_access_granted.part.0() {
 0)   0.190 us    |                                                    rcu_read_unlock_strict();
 0)   0.621 us    |                                                  }
 0)   0.991 us    |                                                }
 0)   2.344 us    |                                              }
 0)   6.352 us    |                                            }
 0)               |                                            ext4_mark_iloc_dirty() {
 0)   0.200 us    |                                              ext4_fc_track_inode();
 0)               |                                              ext4_do_update_inode.isra.0() {
 0)   0.190 us    |                                                _raw_spin_lock();
 0)               |                                                from_kuid() {
 0)   0.181 us    |                                                  map_id_up();
 0)   0.551 us    |                                                }
 0)               |                                                from_kgid() {
 0)   0.180 us    |                                                  map_id_up();
 0)   0.551 us    |                                                }
 0)               |                                                from_kprojid() {
 0)   0.190 us    |                                                  map_id_up();
 0)   0.550 us    |                                                }
 0)               |                                                ext4_inode_csum_set() {
 0)               |                                                  ext4_inode_csum() {
 0)               |                                                    crypto_shash_update() {
 0)   0.200 us    |                                                      crc32c_pcl_intel_update();
 0)   0.570 us    |                                                    }
 0)               |                                                    crypto_shash_update() {
 0)   0.201 us    |                                                      crc32c_pcl_intel_update();
 0)   0.571 us    |                                                    }
 0)               |                                                    crypto_shash_update() {
 0)   0.180 us    |                                                      crc32c_pcl_intel_update();
 0)   0.551 us    |                                                    }
 0)               |                                                    crypto_shash_update() {
 0)   0.190 us    |                                                      crc32c_pcl_intel_update();
 0)   0.551 us    |                                                    }
 0)               |                                                    crypto_shash_update() {
 0)   0.191 us    |                                                      crc32c_pcl_intel_update();
 0)   0.561 us    |                                                    }
 0)               |                                                    crypto_shash_update() {
 0)   0.200 us    |                                                      crc32c_pcl_intel_update();
 0)   0.561 us    |                                                    }
 0)   4.589 us    |                                                  }
 0)   4.949 us    |                                                }
 0)               |                                                __ext4_handle_dirty_metadata() {
 0)               |                                                  __cond_resched() {
 0)   0.181 us    |                                                    rcu_all_qs();
 0)   0.541 us    |                                                  }
 0)   0.200 us    |                                                  jbd2_journal_dirty_metadata();
 0)   1.302 us    |                                                }
 0)   0.241 us    |                                                __brelse();
 0) + 14.577 us   |                                              }
 0) + 15.318 us   |                                            }
 0) + 22.943 us   |                                          }
 0)   0.190 us    |                                          __brelse();
 0) ! 138.450 us  |                                        }
 0)               |                                        ext4_init_new_dir() {
 0)               |                                          ext4_append() {
 0)               |                                            ext4_map_blocks() {
 0)               |                                              ext4_es_lookup_extent() {
 0)   0.180 us    |                                                _raw_read_lock();
 0)   0.581 us    |                                              }
 0)               |                                              down_read() {
 0)               |                                                __cond_resched() {
 0)               |                                                  rcu_note_context_switch() {
 0)   0.211 us    |                                                    rcu_qs();
 0)   0.571 us    |                                                  }
 0)               |                                                  raw_spin_rq_lock_nested() {
 0)   0.190 us    |                                                    _raw_spin_lock();
 0)   0.561 us    |                                                  }
 0)   0.210 us    |                                                  update_rq_clock();
 0)               |                                                  pick_next_task() {
 0)               |                                                    pick_next_task_fair() {
 0)   0.231 us    |                                                      update_curr();
 0)   0.231 us    |                                                      pick_next_entity();
 0)   0.201 us    |                                                      pick_next_entity();
 0)               |                                                      put_prev_entity() {
 0)               |                                                        update_curr() {
 0)   0.200 us    |                                                          update_min_vruntime();
 0)   0.231 us    |                                                          cpuacct_charge();
 0)               |                                                          __cgroup_account_cputime() {
 0)   0.190 us    |                                                            cgroup_rstat_updated();
 0)   0.732 us    |                                                          }
 0)   2.024 us    |                                                        }
 0)   0.221 us    |                                                        __update_load_avg_se();
 0)   0.251 us    |                                                        __update_load_avg_cfs_rq();
 0)   3.326 us    |                                                      }
 0)               |                                                      put_prev_entity() {
 0)               |                                                        update_curr() {
 0)   0.201 us    |                                                          update_min_vruntime();
 0)   0.561 us    |                                                        }
 0)   0.481 us    |                                                        __update_load_avg_se();
 0)   0.201 us    |                                                        __update_load_avg_cfs_rq();
 0)   2.074 us    |                                                      }
 0)               |                                                      set_next_entity() {
 0)   0.191 us    |                                                        clear_buddies();
 0)   0.200 us    |                                                        __update_load_avg_se();
 0)   0.190 us    |                                                        __update_load_avg_cfs_rq();
 0)   1.392 us    |                                                      }
 0)               |                                                      put_prev_entity() {
 0)   0.190 us    |                                                        update_curr();
 0)   0.220 us    |                                                        __update_load_avg_se();
 0)   0.191 us    |                                                        __update_load_avg_cfs_rq();
 0)   1.352 us    |                                                      }
 0)               |                                                      set_next_entity() {
 0)   0.200 us    |                                                        clear_buddies();
 0)   0.191 us    |                                                        __update_load_avg_se();
 0)   0.191 us    |                                                        __update_load_avg_cfs_rq();
 0)   1.322 us    |                                                      }
 0) + 11.872 us   |                                                    }
 0) + 12.263 us   |                                                  }
 0)               |                                                  psi_task_switch() {
 0)   0.201 us    |                                                    psi_flags_change();
 0)   3.226 us    |                                                    iterate_groups();
 0)   0.320 us    |                                                    psi_group_change();
 0)   0.210 us    |                                                    iterate_groups();
 0)   0.220 us    |                                                    psi_group_change();
 0)   0.200 us    |                                                    iterate_groups();
 0)   0.210 us    |                                                    psi_group_change();
 0)   0.211 us    |                                                    iterate_groups();
 0)   0.191 us    |                                                    psi_flags_change();
 0)   0.190 us    |                                                    iterate_groups();
 0)   0.260 us    |                                                    psi_group_change();
 0)   0.201 us    |                                                    iterate_groups();
 0)   0.281 us    |                                                    psi_group_change();
 0)   0.201 us    |                                                    iterate_groups();
 0)   8.987 us    |                                                  }
 0)   0.742 us    |                                                  __traceiter_sched_switch();
 0)               |                                                  finish_task_switch.isra.0() {
 0)   0.220 us    |                                                    raw_spin_rq_unlock();
 0)   0.731 us    |                                                  }
 0) ! 102.031 us  |                                                }
 0) ! 102.402 us  |                                              }
 0)               |                                              ext4_ext_map_blocks() {
 0)               |                                                ext4_find_extent() {
 0)               |                                                  __kmalloc() {
 0)   0.190 us    |                                                    kmalloc_slab();
 0)               |                                                    __cond_resched() {
 0)   0.190 us    |                                                      rcu_all_qs();
 0)   0.550 us    |                                                    }
 0)   0.190 us    |                                                    should_failslab();
 0)   2.314 us    |                                                  }
 0)   0.191 us    |                                                  ext4_cache_extents();
 0)   3.136 us    |                                                }
 0)               |                                                ext4_ext_determine_insert_hole() {
 0)               |                                                  ext4_es_find_extent_range() {
 0)   0.190 us    |                                                    _raw_read_lock();
 0)               |                                                    __es_find_extent_range() {
 0)   0.190 us    |                                                      __es_tree_search.isra.0();
 0)   0.581 us    |                                                    }
 0)   1.322 us    |                                                  }
 0)               |                                                  ext4_es_insert_extent() {
 0)   0.190 us    |                                                    _raw_write_lock();
 0)               |                                                    __es_remove_extent() {
 0)   0.180 us    |                                                      __es_tree_search.isra.0();
 0)   0.561 us    |                                                    }
 0)               |                                                    __es_insert_extent() {
 0)               |                                                      kmem_cache_alloc() {
 0)   0.180 us    |                                                        should_failslab();
 0)   0.671 us    |                                                      }
 0)   0.200 us    |                                                      _raw_spin_lock();
 0)   1.493 us    |                                                    }
 0)   3.045 us    |                                                  }
 0)   4.949 us    |                                                }
 0)   0.301 us    |                                                kfree();
 0)   9.177 us    |                                              }
 0)   0.191 us    |                                              up_read();
 0) ! 113.313 us  |                                            }
 0)               |                                            ext4_bread() {
 0)               |                                              ext4_getblk() {
 0)               |                                                ext4_map_blocks() {
 0)               |                                                  ext4_es_lookup_extent() {
 0)   0.190 us    |                                                    _raw_read_lock();
 0)   0.992 us    |                                                  }
 0)               |                                                  down_write() {
 0)               |                                                    __cond_resched() {
 0)   0.181 us    |                                                      rcu_all_qs();
 0)   0.541 us    |                                                    }
 0)   0.911 us    |                                                  }
 0)               |                                                  ext4_ext_map_blocks() {
 0)               |                                                    ext4_find_extent() {
 0)               |                                                      __kmalloc() {
 0)   0.191 us    |                                                        kmalloc_slab();
 0)               |                                                        __cond_resched() {
 0)   0.190 us    |                                                          rcu_all_qs();
 0)   0.551 us    |                                                        }
 0)   0.180 us    |                                                        should_failslab();
 0)   1.673 us    |                                                      }
 0)   0.190 us    |                                                      ext4_cache_extents();
 0)   2.424 us    |                                                    }
 0)   0.190 us    |                                                    ext4_ext_search_left();
 0)   0.200 us    |                                                    ext4_ext_search_right();
 0)               |                                                    ext4_ext_find_goal() {
 0)   0.200 us    |                                                      ext4_inode_to_goal_block();
 0)   0.671 us    |                                                    }
 0)               |                                                    ext4_mb_new_blocks() {
 0)               |                                                      __cond_resched() {
 0)   0.190 us    |                                                        rcu_all_qs();
 0)   0.551 us    |                                                      }
 0)               |                                                      ext4_claim_free_clusters() {
 0)   0.210 us    |                                                        ext4_has_free_clusters();
 0)   0.601 us    |                                                      }
 0)               |                                                      __dquot_alloc_space() {
 0)               |                                                        inode_add_bytes() {
 0)   0.191 us    |                                                          _raw_spin_lock();
 0)   0.591 us    |                                                        }
 0)   0.992 us    |                                                      }
 0)               |                                                      __mark_inode_dirty() {
 0)               |                                                        ext4_dirty_inode() {
 0)               |                                                          __ext4_journal_start_sb() {
 0)               |                                                            ext4_journal_check_start() {
 0)               |                                                              __cond_resched() {
 0)   0.190 us    |                                                                rcu_all_qs();
 0)   0.541 us    |                                                              }
 0)   0.912 us    |                                                            }
 0)   0.220 us    |                                                            jbd2__journal_start();
 0)   1.684 us    |                                                          }
 0)               |                                                          __ext4_mark_inode_dirty() {
 0)               |                                                            __cond_resched() {
 0)   0.180 us    |                                                              rcu_all_qs();
 0)   0.562 us    |                                                            }
 0)               |                                                            ext4_reserve_inode_write() {
 0)               |                                                              ext4_get_inode_loc() {
 0)               |                                                                __ext4_get_inode_loc() {
 0)               |                                                                  ext4_get_group_desc() {
 0)   5.400 us    |                                                                    rcu_read_unlock_strict();
 0)   5.811 us    |                                                                  }
 0)   0.201 us    |                                                                  ext4_inode_table();
 0)               |                                                                  __getblk_gfp() {
 0)               |                                                                    __find_get_block() {
 0)   0.190 us    |                                                                      mark_page_accessed();
 0)   0.592 us    |                                                                    }
